,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
1189,MSI LAPTOP MODERN 14 C12MO-1408MY CREATOR (intel i7-1255U/16GB/ 512GB SSD/14″ IPS FHD/IRIS XE GRAPHIC/ OFF H&S 2021/14KG WEIGHT /W11/MSI SLEEVE BAG/2YR),2799.0,MSI,5.0,EIT STORE,10.0,5.0
1190,"LENOVO IdeaPad SLIM 5 AI LAPTOP (INTEL CORE ULTRA 5 125H /32GB RAM/512GB SSD/ 16"" IPS WUXGA/ INTEL ARC GRAPHICS /OFF H&S 2021/ W11/ BACKPACK/2Y) IPS5 83DC006RMJ  / 83DC006SMJ",4498.0,Lenovo,5.0,EIT STORE,7.0,2.0
1213,"HP 15 (2023) Laptop | Intel® Core™ i7-1355u | 8GB RAM | 512GB SSD | 156"" FHD | Win11 Home | Ms Office 2021",3787.0,HP,5.0,PA Online,18.0,1.0
1221,"HP Pavilion Laptop 15-EG3051TU / 15-EG3052TU / 15-EG3053TU / 15-EG3054TU (i5-1335U/8GB/512GB/156"" FHD/OPI/W11H/2YW/BP)",2799.0,HP,4.53,HP Brand Store - PC Image,44.0,17.0
1228,Lenovo IdeaPad Slim 3 LAPTOP (Intel Core 5 120U/16GB/512GB SSD/156 IPS FHD/ INTEL UHD GRAPHICS/ OFF H&S 2021/FINGER PRINT READER/ W11/BACKPACK/2Y) IPS3  83E60026MJ/83E60027MJ,2699.0,Lenovo IdeaPad,5.0,EIT STORE,5.0,1.0
1255,"Samsung Chromebook 2 XE500C12-K01US 116 Inch Laptop (Intel Celeron, 4 GB, 16 GB SSD, Silver)",99.0,Samsung,5.0,Adam Jee Infotech,15.0,5.0
1256,Backpack Large capacity computer travel backpack Fashion trend Unisex for college students,3.0,OEM,5.0,Clearance stores,234.0,7.0
1257,Jumper EZbook X3 Laptop 133 Inch Intel N3350（4GB+64GB）/Intel N3455（8GB+256GB）Windows10 OS Free Shipping,519.0,Jumper,4.89,Jumper Official Store,48.0,38.0
1258,"( HP Touchscreen Grade B Play Store ) Chromebook 11 G6 / 4GB RAM DDR4, 16GB eMMc SSD / HDMI Port",168.0,HP,4.78,ELINK NOTEBOOK CENTRE,90.0,35.0
1259,"Hp 15S-Eq2197Au 156'' Fhd Laptop Natural Silver ( Ryzen 3 5300U, 8Gb, 512Gb Ssd, Ati, W11, Hs )",1810.0,HP,4.97,Lotus's,106.0,36.0
1260,"CHROMEBOOK SAMSUNG 500C WITH PLAYSTORE / INTEL CELERON / 4GB RAM / 16GB EMMC STORAGE / 116"" HD DISPLAY USED",159.0,Samsung,5.0,ALIMAMA TECHNOLOGIES ,7.0,2.0
1261,( HP All Black Chromebook Support Google Play Store Refurbished ) HP Chromebook 11 G5 EE  All Black with Webcam / Wifi Built in / HDMI Port / 4GB RAM DDR3L  / 16GB eMMc / Support Google Play Store and Android APP,95.99,HP,4.86,ELINK NOTEBOOK CENTRE,1700.0,750.0
1262,"Touch Screen HP G5 14 inch Chrome OS 8GB RAM 32GB SSD 14"" 1920 x 1080 Full HD",249.0,HP,4.4,ecom.my,18.0,5.0
1263,( HP Silver Black Chromebook Support Google Play Store  ) Chromebook Refurbished HP 11 G5 Silver Black with Wifi & Webcam / 4GB RAM 16GB eMMc / HDMI Port,99.99,HP,4.88,ELINK NOTEBOOK CENTRE,436.0,164.0
1264,"Hp 15S-Eq2196Au 156'' Fhd Laptop Pale Gold ( Ryzen 3 5300U, 8Gb, 512Gb Ssd, Ati, W11, Hs )",1810.0,HP,5.0,Lotus's,133.0,36.0
1266,"HP Pavilion Laptop 12th Gen 14-dv2026TU Gold, dv2027TU Pink, dv2028TU Silver (i7,8gb,512gb,intel iris xe,win11,OPI)",3049.0,HP,5.0,HP Brand Shop - Superb Multimedia,32.0,10.0
1268,ASUS Zenbook 14 OLED AI Laptop UX3405M-APP246WSM/APP245WSM (Intel Core Ultra5 125H/16GB/512GB SSD/14 3K OLED/ Intel Arc Graphics/ off h&s + 365/ 12kg light weight/W11/2Y),4699.0,ASUS,4.95,EIT STORE,49.0,19.0
1271,TOUCHSCREEN HP ELITEBOOK x360 1030 G2 CORE i5-7th GEN | 8GB RAM 512GB SSD FHD IPS x360 DISPLAY | WINDOWS 10 PRO | MICROSOFT OFFICE | REFURBISHED,1299.0,HP,5.0,Green IT,5.0,1.0
1272,"HP 15s-eq1017au Gold / 1018au Silver Laptop | Athlon-3050u | 4GB RAM 256GB SSD | 156"" HD | W10 | 1 Year Warranty + BAG",1999.0,HP,5.0,HP BRAND SHOP - TMT,29.0,2.0
1273,"Lenovo IdeaPad 3 156"" 82RK00SQMJ /82RK00SRMJ / 82RK00SSMJ (i3/8GB/512GB/W11H/OFFH&S)|FOC:BACKPACK",2049.0,Lenovo,4.88,Lenovo Official Store,23.0,5.0
1276,"HP Laptop 14-ep0044TU Gold, ep0045TU Silver (Intel 13th Core i5 1335U, 8gb ram, 512gb ssd, Intel Iris Xe Graphic, 14"" FHD, Win11, OPI) (T&G/Grab E-Wallet Rm50)",2499.0,HP,4.96,HP Brand Shop - Superb Multimedia,73.0,27.0
1277,"HP Laptop 15s-eq2190AU Blue, 15s-eq2191AU Gold, 15s-eq2192AU Silver (AMD Ryzen 5 5500U, 8gb ram, 512gb ssd, AMD Radeon Graphic, 156"" FHD Antiglare, Win11, OPI)",2899.0,HP,5.0,HP Brand Shop - Superb Multimedia,9.0,2.0
1290,"CHROMEBOOK ACER C731 WITH PLAYSTORE / INTEL CELERON / 4GB RAM / 16GB EMMC STORAGE / 116"" HD DISPLAY USED",149.0,Acer,5.0,ALIMAMA TECHNOLOGIES ,9.0,0.0
1293,"HP Chromebook 11 G5 EE (PLAY STORE), 4GB RAM, 16GB SSD Intel Celeron Processor, 116"" Inch HD Display, Memory Card Slot, Zoom, Chrome OS",99.0,HP,5.0,Green IT,6.0,2.0
1295,Dell Chromebook 11 3180 3189 (Touch) - Intel Celeron / 4GB RAM / 32GB SSD Budget Laptop Notebook Murah Chrome Book,110.0,Dell,5.0,Incore Trade Sdn Bhd,14.0,5.0
1296,POWERFULLY HP 14 G5 CHROMEBOOK 8GB Ram 32GB SSD CHROME OS PLAYSTORE BUSINESS LAPTOP,235.0,HP,4.86,Second Budget PC,188.0,71.0
1297,"HP 15-fc0208AU /15-fc0209AU 156"" FHD Laptop ( Ryzen 5 7430U, 16GB, 512GB SSD, ATI, W11, HS )",2299.0,HP,4.83,HP Brand Store - BestBuy ITmall,158.0,46.0
1298,HP VICTUS Gaming Laptop 15-FA1231TX / 15-FA1232TX / 15-FA1120TX / 15-FA1121TX (I5-12450H/8GB/512GB/RTX2050/RTX4050/W11H),2899.0,HP,5.0,HP Brand Store - PC Image,119.0,47.0
1304,"ASUS VivoBook 15 K513E-AL13093WS / K513E-AL13200WS 156"" OLED Laptop (I5-1135G7/8GB/512GB/UHD/W11) FOC Wireless Mouse & Backpack",3188.88,ASUS,4.94,NEKOTECH,42.0,17.0
1306,Acer Swift 3 SF314-511-532H Laptop NXACTSM001 Berry Red 14IN IPS FHD Intel I5-1135G7 8GB Ram 512GB SSD Win10 Preload Office Home And Student,3599.0,Acer,5.0,Acer Store - Aoneplus,16.0,10.0
1307,LAPTOP Honor Magic Book 15 Laptop (156 Inch FHD / Intel Core I3 10110U / 8GB RAM / Intel Graphic / Windows 10 / 2 Years Warranty),1950.0,Honor,5.0,Brightstar Computer,7.0,1.0
1312,HP Pavilion - 14-ce3075tx / 14-ce3076tx / 14-ce3078tx / 14-ce3079tx Laptop,3399.0,HP,5.0,HP Brand Shop - Mybest.my,16.0,6.0
1320,"HP Pavilion 13-BE0048AU 133""LAPTOP PALE ROSE GOLD (R5-5600AU, 8GB, 512GB SSD,UMA, W10+OPI, 2YW) FREE BAG",3149.0,HP,5.0,YES IT DISTRIBUTION,8.0,2.0
1323,"Acer Aspire Lite AL14-31P-C72B (Intel N100/8GB-16GB RAM/512GB SSD/14"" WUXGA/Intel UHD/Office/W11/2 Years Warranty)",1449.0,Acer,5.0,Acer Certified Store - WIT,37.0,12.0
1324,"(Please Read Descrption Before Order) ( Lenovo Chromebook 14 inch Screen Grade B Support Play Store ) Lenovo N42 Chromebook 14"" - Celeron N3060 (4gb Ram/ 16gb eMMC SSD)",129.0,Lenovo,4.79,ELINK NOTEBOOK CENTRE,209.0,87.0
1332,"Lenovo IdeaPad 3 82KT00GUMJ|14""Artic Grey|8GB|512GBSSD|W11H|OFFH&S|1YRWRTY|FOC:BACKPACK",2399.0,Lenovo,5.0,Lenovo Official Store,9.0,1.0
1349,"ASUS ZENBOOK 14 (UX425EA) i5-1135G7/8GB/512GB SSD/14"" FHD/Iris Xe Graphics (UX425E-AKI839WS / UX425E-AKI883WS)",3508.88,ASUS,4.95,NEKOTECH,53.0,20.0
1357,"Asus Vivobook S 15 OLED K3502Z-AMA276WS K3502Z-AMA277WS i5-12500H/ 8gb Ram/ 512GB M2/ 156"" 28K OLED/ Iris Xe Graphics/ W11",3129.0,ASUS,5.0,ASUS BRAND STORE - P.C. IMAGE,5.0,3.0
1359,"Hp G4 Chromebook laptop window 10 4gb RAM 16gb SSd word, excel, PowerPoint, Microsoft, WiFi, hotspot, Bluetooth free gift 🎁 mouse",225.0,HP,5.0,John and sons ,6.0,3.0
1361,"HP PAVILLION PLUS 15-EH3018AU / 15-EH3019AU / 15-EH3020AU / 15-EH3021AU (R5-7530U/16GB/512GB/156"" FHD/W11H/2Y) BP + OPI",2649.0,HP,5.0,HP Brand Store - PC Image,28.0,12.0
1367,"ACER PREDATOR HELIOS NEO 16 PHN16-71-52M7 I5-13500HX/8GB/512GB/RTX4060/16""WUXGA IPS 165HZ 16:10 SRGB/W11/2YW/BACKPACK",4842.0,Acer,4.5,Acer Certified Store - PC Image,11.0,1.0
1375,"Asus Vivobook 15 (K513E-ABN765TS) Black Laptop | i5-1135G7 | 8GB RAM 512GB SSD | 156"" FHD | Iris Xe | W10 | MS OFFICE + BAG",3199.0,ASUS,5.0,ASUS BRAND STORE - TMT,9.0,2.0
1376,"Asus VivoBook S14 M433I-AEB004TS 14"" FHD Laptop ( RYZEN 7/8GB/512GB SSD/RADEON/W10 ) FOC Wireless Mouse & Backpack",3699.0,ASUS,5.0,NEKOTECH,29.0,8.0
1393,Asus Laptop Intel Core i7 8565U 16+1TB 156 Inch Gaming Laptop IPS Full HD Display Windows 11,1529.0,OEM,5.0,Echo Mall_MY,59.0,17.0
1395,"( HP 14'' Chromebook Support Chrome Web Store ) HP Chromebook 14 G3 with Wifi & Webcam / 2GB RAM , 16GB eMMc / HDMI Port",109.0,HP,4.82,ELINK NOTEBOOK CENTRE,222.0,72.0
1397,"HP LAPTOP 15S-EQ2195AU (BLUE) / 15s-EQ2196AU (GOLD) / 15s-EQ2197AU (SILVER) - (R3 5300U, 8GB, 512GB, 156 FHD Antiglare, Win11, OPI)",1899.0,HP,4.89,HP Brand Store - BestBuy ITmall,108.0,38.0
1404,"Asus Vivobook 15 A1502Z-ABQ2141WS A1502Z-ABQ2143WS i5-12500H/ 16GB/ 512GB/ UHD/ 156"" FHD/W11",2399.0,ASUS,4.43,ASUS BRAND STORE - P.C. IMAGE,81.0,23.0
