,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
72,Lenovo ThinkPad T460S T470S T480S / Intel Core i7/14in / 20GB RAM+1TB SSD / BrandNew Original Laptop / HD resolutions 19201080/HD Camera/WiFi/Bluetooth,616.22,Lenovo,4.71,16G+Laptop Mall,84,31
74,[New Model I5-1334U] Acer Aspire Lite 14 | AL14-52M-54V4 14-Inches WUXGA IPS Display,749,Acer,5,Acer,53,22
75,Refurbished -Dell Latitude 3340 / 3350 | intel core i5 | 8GB RAM | 256GB SSD  | WIndows 10 Pro | Ms office | 1 Month Warranty,199,Dell,4.84,JK Info Tech & Trading ,99,25
76,"Lenovo ThinkPad T470   Core i5 7th Gen , 8GB/16GB DDR4 Ram , 256GB/512 SSD , 14inch , Windows 11 Pro",249,Lenovo,4.81,UB18 Computers Pte Ltd,542,157
77,NEC Intel i5 SSD Laptop / 256GB SSD / 8GB RAM / Super Lightweight / Fast Boot Up / Win 11 + MS Office / Refurbished,199,NEC,4.33,Fuji Gadgets,20,5
78,"ASUS Chromebook CM1402 14"" Laptop - MediaTek Kompanio 520 - 4GB Memory - 64GB eMMC - Gravity Gray/ Brand new with 1 year warranty",359,ASUS,5,MUMBER,9,2
79,"Hp Elitebook 840 G5  i7 8th Gen  8GB/16GB Ram 256GB/512GB  SSD with  Windows 11 pro , Ms Office , Refurbished Ultrabook",299,HP,4.64,UB18 Computers Pte Ltd,71,22
81,Fujitsu 360 Flip + Touch Screen Intel i7 Laptop | 512GB SSD | 16GB RAM | Fast Boost Up | Free MS Office | Windows 11,299,Fujitsu,4.38,Fuji Gadgets,24,8
82,"ASUS Vivobook 16 | X1605VA-MB1227W | 16"" FHD (1920x1200) 300 nits | Intel Core i5-13420H | Intel UHD Graphics | 16GB DDR4 | 512GB SSD | Win11 Home | 2Y ASUS Warranty",999,ASUS,4.88,ATRiX Aurora Computer,282,104
87,Topton Mini Pocket Laptop 7 Inch Touch Screen Intel N4000 12GB DDR4 Computer Office Ultrabook Notebook 20MP Netbook Windows 11,362.29,KingnovyPC,5,KingnovyPC Computer Store,5,2
88,Lenovo ThinkPad T440p core i5 14 inch 8/16GB DDR4 SDRAM 128/256 SSD Win 10 pro MS Office 2019  Used as new,170,Lenovo,4.83,Grandlink,26,12
89,T490 Lenovo ThinkPad Business Laptop i5-8th Gen 16GB RAM 256GB SSDWindows 10 Pro,350,Lenovo,5,Tech to Next Generation,5,1
90,"Acer - Chromebook 315 – 156"" HD Display Laptop - Intel Celeron N4020/N6000 with 4GB LPDDR4 – 64GB/128GB eMMC - Silver/Brand new with  1 Year Warranty",349,Acer,5,MUMBER,11,2
91,Acer Chromebook Plus CB514-3HT-R77J 14-inch WUXGA IPS Touchscreen | Chrome OS | AMD Ryzen 5 7520C | 8GB RAM | 256GB SSD,798,Acer,5,Acer,11,3
92,Toshiba Laptop / Intel i7 & Intel i5 / SSD Drive / 16GB RAM / Windows 11 + Free MS Office / Local Seller / Fast Shipping!,80,Toshiba,5,Fuji Gadgets,8,3
93,MAGCH 14inch Laptop Windows 11 Notebook 1920x1080 FHD Intel Celeron J4105 Computer Work Gaming Thin Laptop 8GB RAM 128GB 256GB ROM Gaming Notebook Pc Portable,322.15,MAGCH,5,MAGCH,8,47
94,"Lenovo ThinkPad  X270 i7 7th Gen  16GB Ram,  512GB SSD , 125inch , Windows 11 Pro , Ms Office  (Refurbished )",229,Lenovo,4.82,UB18 Computers Pte Ltd,204,56
97,Lenovo ThinkPad X270 i5 6th Generation 8Gb Ram 256Gb New SSD Windows 11 Pro,190,Lenovo,4.2,WORLDWIDE COMPUTER SERVICES PTE LTD,15,5
98,"Lenovo ThinkPad T14 G1 14” / T15 G1 15"" Ultrabook Intel Core i5/i7 RAM 8-40GB New 512GB/1TB NVMe SSD WebCam HDMI Win11Pro Used 30 Days Warranty - LeInfotech",418,Lenovo,4.69,Le Infotech,268,51
