,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
56,Motospeed Darmoshark K3 Pro Bluetooth Wireless Numeric Mechanical Numeric Keypad Hot Swap 19 Keys Numpad Keyboard For Laptop,57.47,MOTOSPEED,5.0,Alpha Digital Store,11.0,1.0
57,1 x Wireless Keyboard 1 x USB Receiver Portable 24G Wireless Digital Keyboard USB Number Pad 18 Keys Mini Numeric Keypad For Laptop PC Notebook Desktop,5.21,OEM,4.11,chawa2585,52.0,9.0
60,Wired USB Number Keypad Slim Numeric Pad Keyboard for Laptop Notebook Accounting Excel Calculator,9.21,AceGadgets,4.62,AceGadgets,277.0,48.0
62,AVATTO Small-size 24GHz Wireless Numeric Keypad Numpad 18 Keys Digital Keyboard for Accounting Teller Laptop Notebook Tablets,7.7,AVATTO,5.0,avatto intelligent store,14.0,33.0
65,RGB 104 Keys Gaming Mechanical Keyboard Led Backlit Usb Keyboard Gamer Built-in Steel Plate Ergonomic Keyboard,38.79,OEM,4.5,Cyberpark,8.0,2.0
66,Logitech K580 Slim Multi-Device Wireless Keyboard,54.9,Logitech,5.0,GamerPushCart,155.0,44.0
68,AJAZZ Numeric Keypad 18Keys 24G Wireless USB Number Pad Keyboard for PC 84Keys 308i Multicolor Keypad,20.2,AJAZZ,5.0,betapleon,60.0,11.0
69,Wireless Bluetooth Keyboard For iPad Mac and smart tablets,29.9,OEM,5.0,minisq,5.0,1.0
70,DAREU LK185 104-Key Wired Office Keyboard,12.9,DAREU,4.73,DAREU,343.0,81.0
72,Lenovo Essential Wired Keyboard Black US English 103P | Lenovo | Lenovo Wired Keyboard | Essential Wired Keyboard - US 103P | Wired | Lenovo Essential wired keyboard | 4Y41C68642 | 5275762,25.0,Lenovo,4.67,ConnectSG,15.0,3.0
73,Electronic Piano with Mini Keyboard 37-Key Electronic Keyboard Piano Children' s Piano Pink,21.43,ammoon,5.0,Effect Pedal World,15.0,27.0
74,Logitech K845 Mechanical Illuminated Wired Keyboard (Tactile switch),64.9,Logitech,4.89,Logitech,585.0,130.0
