,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
271,Xiaomi Redmi Note 13/Redmi Note 13 Pro/Redmi Note 13 pro+ Smartphone/667 Inch Note 13 Pro Snapdragon 7s Gen 2 MobilePhone/ Redmi Note 5000MAh 120HZ Screen 120W Fast Charge Phone/Android 13 MIUI 14 红米 Note 手机/红米note 13 pro,279.0,Redmi,5.0,Laaaaa Store,18.0,6.0
280,OUKITE WP23 Pro (652“ HD+ 10600 mAh 16GB+128GB Android 13 Mobile Phones Mali G57 13MP NFC  Rugged Handphone,204.0,OUKITEL,4.83,OUKITEL Flagship Store,29.0,32.0
283,Oneplus Ace 5 Pro Snapdragon 8 Elite/Oneplus Ace 5 Snapdragon 8 Gen 3 Gaming Phone/OnePlus Mobile Phone/OnePlus 120Hz AMOLED Gaming Screen一加手机,577.0,OnePlus,5.0,MOMO Technology,5.0,2.0
286,OPPO Reno 12 Smartphone/OPPO Reno 11 Pro Phone/OPPO Reno 10 pro /OPPO Phone/OPPO 手机/OPPO Camera Phone/Dual SIM 5G OPPO Mobile Phone/MTK Dimensity 9200+/Reno 11 Dimensity 8200 /Reno 11 Pro 674 inch 4700mAh 80W Fast Charging,433.0,OPPO,4.81,DS Moblie Store,74.0,26.0
287,"(4GB+32GB) OUKITEL K15 Plus 10000mAh NFC Smart Phone 652"" 4GB RAM + 32GB ROM Cell Phone Quad Core Android 10 Mobile Phone MT6761 13MP",183.0,OUKITEL,5.0,Mobile Brand Store,16.0,1.0
290,"Samsung Galaxy Z Flip 4 Cell Phone 8GB RAM+256GB ROM Single Sim Factory Unlocked Android Smartphone, Flex Mode, Hands Free Camera, Compact, Foldable Design, Informative Cover Screen",429.9,Samsung,5.0,Funasydeal,18.0,39.0
292,100% Original Redmi Note 13/Mi Redmi Note13 Pro Plus+ Smartphone /Dimensity 7200 Ultra/667 Inch Note 13 Pro Snapdragon 7s Gen 2 MobilePhone / Dual SIM 5G Cell Phone /120W Fast Charge,279.0,Redmi,4.97,DS Moblie Store,62.0,30.0
294,2024 Xiaomi Redmi Turbo 3 Mobile Phone/ Redmi Turbo 3 Harry Potter Phone/Redmi Snapdragon 8s Gen 3 HyperOS Cellphone/ 667inch/90W Fast Charging/Dual SIM/红米Turbo 3/Turbo 3 手机,365.0,Xiaomi,5.0,Lily Happy,9.0,4.0
298,"Unlocked LG G7 ThinQ G710N 4G LTE Mobile Phone 61"" Snapdragon 845 Android Octa Core Dual 16MP Camera CellPhone",149.54,LG,5.0,Cloison mobile phone Store,6.0,2.0
301,Samsung Galaxy S9 Plus S9+ G965U 64GB ROM 6GB RAM Snapdragon 845 Mobile Phone Octa Core 62 inches,306.0,Samsung,5.0,Com2Share Audio store,19.0,7.0
303,2024 Vivo X200 Smartphone/Vivo X200 Pro/Vivo X200 Pro mini/VIVO X200/Vivo Mobile Phone/Vivo AI Phone/Dimensity 9400,854.0,Vivo,5.0,Laaaaa Store,30.0,10.0
306,2024 OPPO Find X8 Pro 5G Smartphone/OPPO Find X8 Smartphone/OPPO Phone/Dimensity 9400/678 inches 120Hz OLED Curved Screen/5910mAh,904.0,OPPO,5.0,Laaaaa Store,30.0,10.0
308,SHARP AQUOS R9 Mobile Phone - Available in 2 Colours (Green/White),1099.0,Sharp,5.0,SHARP,19.0,7.0
310,IIIF150 Air1 Ultra 68“ FHD+ 16GB RAM 128/256GB ROM Handphone  120Hz Display Helio G99 64MP Camera Global Version Mobilies phone,315.0,OUKITEL,5.0,OUKITEL Flagship Store,20.0,23.0
