Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
178,"SAMSUNG Galaxy A15 5G (RAM 8GB, 256GB, Blue Black)",359.96,Samsung,5,Power Buy,7,3
277,Samsung Galaxy A04(3+32GB)(By Lazada Superiphone),359.96,Samsung,4.97,Superiphone,276,91
858,"Oukitel WP19 Rugged Phone Night Vision, 21000 mAh, Smartphone, 8GB, 256GB, 64M Camera, Cell phone, 90 Hz Helio G95 Mobile Phone",356,OUKITEL,5,Smart Electronic Shop,7,2
673,Samsung Z flip4 5G 128/256/512GB 🎁ฟรีของเเถม🎁 เครื่องมือสองศูนย์ไทย USED PHONE,355.6,Samsung,4.98,jayphones,83,46
800,AT4801 /AT4401 Uniden  โทรศัพท์สำนักงาน โทรศัพท์บ้าน 4 Line / 2 Line  (4 /2 สายนอก) พร้อมเครื่องไร้สาย  AT480HS / AS440  ยี่ห้อ Uniden,355.6,Uniden,5,PCS Solution,15,3
181,CMF (By Nothing) Phone 1 (8/256GB) (รับประกัน 2 ปี) By Jaymart,343.96,Nothing,4.92,Jaymart,55,24
363,Global ROM Xiaomi Redmi K50 Ultra 5G Mobile Phone 256GB/512GB Snapdragon 8+ Gen 1 108MP OIS Camera 5000mAh Battery 120W Charge-Xiaomi 12T PRO,342.72,Xiaomi,4.69,SmartphoneTop1,51,47
271,HONOR 200 Lite | 12+256 GB | Chipset MediaTek 6080  | The Ai Portrait Master 108MP และ 50MP3  l leads the ultra-slim fashion among bar phones,335.68,Honor,4.9,HONOR,306,162
292,"Samsung Galaxy A15 5G (RAM 8GB, 128GB)",319.96,Samsung,4.96,Power Buy,560,219
146,🌈Samsung Galaxy Note20 4/5G Note20Ultra 4/5G 8/256GB เครื่องแท้ศูนย์ เดิมๆ ใช้งานปกติ USED PHONE,316,Samsung,4.86,jayphones,284,145
92,CMF (By Nothing) Phone 1 (8/128GB) (รับประกัน 2 ปี) By Jaymart,303.96,Nothing,4.98,Jaymart,141,64
93,"CMF by Nothing - Phone 1, Wonderful by Design โทรศัพท์มือถือ Smartphone",303.96,Nothing,4.98,NOTHING,93,50
628,CMF by Nothing โทรศัพท์มือถือ รุ่น  Phone 1 - Black by dotlife,303.96,Nothing,5,dotlife,5,3
774,Google Pixel 4a 5G Unlocked 5G Mobile Phone 62 inches 6GB RAM 128GB ROM Octa-core Snapdragon 765G Smartphone,299.96,Google,5,Com2Share Audio store,18,28
337,Samsung A54 5G เครื่องแท้ศูนย์ไทย มือสอ งงสภาพสวย 128/256GN USED Phone,299.6,Samsung,5,jayphones,10,6
269,"[HUAWEI P30 Pro 4G Smartphone Android 647 inch 512GB ROM 40MP+32MP Camera Waterproof Cell phone Google Play Store Mobile phones,HUAWEI P30 Pro 4G Smartphone Android 647 inch 512GB ROM 40MP+32MP Camera Waterproof Cell phone Google Play Store Mobile phones Random Color,]",286.62,OEM,4.89,SmartphoneTop1,28,15
957,Xiaomi Civi 5G Cell Phone Snapdragon 778G 4500mAh Battery 55W QC Fast Charge 98% NEW USED OLED Display Android Smartphone 128GB 256GB,285.76,Xiaomi,5,XiaoMiAuthorized store,6,3
306,Samsung A73 5G 8/128 มือสอ งงสภาพสวย เดิมๆ เครื่องเเท้ศูนย์ มีชึดชาร์จแถมให้ ประกันร้าน USED PHONE,279.6,Samsung,4.6,jayphones,11,5
189,Samsung Z flip3 5G 128/256GB เครื่องศูนย์มือสอ งงศูนย์ไทยแท้ สวยเหมือนได้มือ1 ประกันร้าน30วัน USED PHONE,276,Samsung,4.91,jayphones,182,103
897,Headwolf FPad5 Pro Android 14 tablet 84 inch  Max 16GB (8GB+8GB Virtual) Ram 256GB UFS21 Octa-core G99 Phone Call  Tablet PC 5500 mAh Support Sim Card WideVine L1,263.96,Headwolf,4.8,Headwolf Official Store,9,5
250,Samsung Galaxy S21 S21Plus S21Ultra 5G สามรุ่น เครื่องแท้ 100%  สภาพสวย ใช้งานปกติ  USED PHONE,259.6,Samsung,4.96,jayphones,254,126
402,Samsung S21 5G 8/128/256 เครื่องแท้ศูนย์ไทย มือสอ งง สภาพสวยเดิมๆ มีหน้าร้าน USED Phone,259.6,Samsung,4.93,jayphones,29,15
777,"DECT Wireless IP Phone ""Yealink"" W73P",258.2,Yealink,5,Voice Works,9,1
288,OPPO A96_4G(8+256GB) (By Lazada Superiphone),255.52,OPPO,5,Superiphone,89,26
395,"Redmi K40 Pro 5G Smartphone Global Rom Xiaomi Snapdragon 888 667"" AMOLED Display 33W QC Fast Charge with phone box 95% new COD",250.24,Xiaomi,4.93,Redmi Smartphone Factory store,128,78
887,[24h ship Bangkok] Oukitel WP28 Rugged Smartphones 652Inch Octa Core 8GB+256GB Android 13 Mobile Phone 10600mAh Battery 48MP Camera Cellphone NFC,246.36,OUKITEL,5,แบงค็อก โมบาย มอลล์,44,13
485,Oukitel wp28 rugged smartphone 652 inch Octa Core 8GB + 256GB Android 13 mobile phone 10600mah 48mp battery NFC mobile phone camera,240,OUKITEL,5,Smart Electronic Shop,19,2
568,Cubot KingKong 8 Rugged Smartphone 652 Inch 12GB RAM(6+6GB)+256GB ROM Mobile Phone 16MP+48MP 10600mAh Android 13 Cellphone NFC,240,CUBOT,5,Smart Electronic Shop,13,6
225,"SAMSUNG A16 5G (4+128GB,SM-A166PLGDTHL) Light Green",239.96,Samsung,5,Advice Online,70,26
304,New Samsung Galaxy A16 5G mobile phone 6 years update OS New 1 year Thai center warranty,239.96,Samsung,5,บุญชัยธุรกิจหาดใหญ่,9,6
497,Redmi Note 11 4G Smartphone Xiaomi Helio G88 Mobile Phone 50MP Camera 90Hz Refresh Android Cellphone Global Rom,238.39,Xiaomi,5,Redmi Smartphone Factory store,5,1
553,Samsung A53 5G 8/256 มือสอ งสภาพสวยมากสีดำ/ฟ้า เครื่องศูนย์แท้เดิมๆ ใช้งานปกติ ผระกันร้าน 30 วัน USED PHONE,236,Samsung,5,jayphones,44,13
388,Cellphone Xiaomi 9 Smartphone 95% New Snapdragon 855 Mobilephone NFC Cell Phones Android Cellphones Dual Camera Random color,234.39,Xiaomi,5,WONDERFUL BLACK TECH,7,5
307,จัดส่งไว มือถือ TECNO POVA 6 Neo ( RAM8+8 / ROM 256GB ) เกมมิ่งสมาร์ทโฟน MTK Helio G99 จอ678 นิ้ว เเบตอึด 7000 mAh,231.6,Tecno,5,MobileXPShop,9,5
932,‼️Oppo Reno 8Z ‼️  ✅สภาพสวยมาก ✅Ram 8 Rom 128,230.24,OPPO,5,โพสเพอร์โมบาย,5,2
839,"🔥 [Free Game Console] Umio U8 Pro WiFi/5G Latest Version Android 10 Connected to Projector, Connected to 4K Ultra HD Bluetooth Phone Netlfix YouTube Google Projector supports laptop connectivity",223.6,BYON TECH,4.93,BYON TECH,1700,172
893,"Yealink W73P ชุดเครื่องโทรศัพท์ไร้สาย เชื่อมต่อกับชุมสายแบบ IP หรือ IP-PBX, ขยายเครื่องลูกได้สูงสุด 10 เครื่อง",223.04,Yealink,5,"IES ONE SERVICE CO.,LTD.",10,2
1008,Xiaomi Pad 4 Plus Tablet used phone  90%new Android LTE Version 101 Inch Tablet 1920x1200 Snapdragon 660 4GB RAM 64GB ROM 8620mAh Xiaomi Tablet,222.78,Xiaomi,2,WONDERFUL BLACK TECH,11,21
836,Oukitel WP23 Pro Waterproof Rugged Smartphones Octa Core 8GB+128GB 652Inch HD Android 13 Mobile Phone 10600mAh 13MP Camera NFC,220,OUKITEL,5,Smart Electronic Shop,9,3
239,Samsung S10 S10plus 8/128 เครื่องศูนย์ไทย มือสอ ง ง USED Phone,219.6,Samsung,4.82,jayphones,150,74
889,Xiaomi CC9 Pro Mi Note 10 4G Mobile Phone Snapdragon 730G 5260mAh Battery 647 Inch AMOLED Display 30W QC used phone,214.39,Xiaomi,5,WONDERFUL BLACK TECH,10,5
293,Original Xiaomi Redmi K30 Pro 5G Smartphone used phone 95% New 667 Inch Full Curved Screen Snapdragon 865 Global Version 4700mAh,212.37,Xiaomi,4.87,WONDERFUL BLACK TECH,151,87
314,"ฟรีหัวชาร์จ Smart Phone TECNO Spark 20 Pro - เทคโนโมบาย 12+256GB จอ 678 นิ้ว กล้อง108 + 008MP Auxiliary lens ล้านDual Camera แบต5,000mAh",211.2,Tecno,5,K SMART,15,6
921,NEW Soyes S10 MAX Mini 35inch 4G LTE Smartphone Face Recognition 8GB 256GB Octa Core 2400mAh NFC PTT Waterproof Android110 Mobile Phone,208.16,SOYES,4.33,Refly,11,6
309,Oukitel G1 Rugged Smartphone 652 Inch HD+ 24GB RAM+256GB ROM Mobile Phone 48MP Camera 10600mAh Battery Android 14 Cellphone NFC,200,OUKITEL,4.93,Smart Electronic Shop,27,15
